,gene,score,logFC,pval,pval_adj,cluster
238,ACSL1,11.176037,,5.342298380902006e-29,9.831057135430013e-28,0
239,VNN2,11.1358185,,8.396969977864633e-29,1.5393376642627415e-27,0
240,HLA-DRA,11.059528,,1.9713107751458827e-28,3.5729077935945945e-27,0
241,SMIM25,11.023568,,2.9416350969466693e-28,5.31153134234393e-27,0
242,CSF1R,11.004075,,3.6524437092491257e-28,6.570294807312192e-27,0
243,RAB27A,10.982566,,4.635663036512207e-28,8.307869240435869e-27,0
244,LILRA1,10.921399,,9.108169979139277e-28,1.6202422374002202e-26,0
245,TMEM170B,10.904707,,1.0944506116818927e-27,1.9397218774568747e-26,0
246,ZNF467,10.878269,,1.463153199224707e-27,2.5836488293662749e-26,0
247,CD302,10.87726,,1.479423441921176e-27,2.6028098137536294e-26,0
248,CTBP2,10.874908,,1.518088465699309e-27,2.6610871900561246e-26,0
249,GAA,10.84959,,2.0032209491274004e-27,3.498716443148692e-26,0
250,LGALS9,10.723559,,7.890690902598137e-27,1.3681945272627746e-25,0
251,METRNL,10.679645,,1.26755495152057e-26,2.1899519540119774e-25,0
252,UNC93B1,10.657127,,1.615088102102884e-26,2.780382851039481e-25,0
253,CRISPLD2,10.626432,,2.2453889181383475e-26,3.851643919220887e-25,0
254,PLEC,10.60862,,2.7173314626726806e-26,4.644606055237326e-25,0
255,CXCL8,10.575348,,3.877360222646351e-26,6.603886932400859e-25,0
256,BID,10.562129,,4.464217729705399e-26,7.576550443736761e-25,0
257,ATP6V0A1,10.4291525,,1.8250861075712593e-25,3.0649960051275377e-24,0
258,CUX1,10.2250395,,1.5316559226860103e-24,2.5632555389062394e-23,0
259,JAK2,10.221455,,1.5893778452617034e-24,2.65061867735832e-23,0
260,KIF13A,10.178548,,2.4722202272438066e-24,4.108676038564707e-23,0
261,SPIDR,10.176084,,2.5356176953734296e-24,4.1995075140960634e-23,0
262,NLRP12,10.134858,,3.869364758320162e-24,6.386446369144927e-23,0
263,HMGB2,10.131385,,4.009302849459221e-24,6.594753967792e-23,0
264,CES1,10.088478,,6.212492878339995e-24,1.014918479410442e-22,0
265,ABHD5,10.0401945,,1.0147345296194152e-23,1.652125405343068e-22,0
266,HRH2,10.03605,,1.0582749151089001e-23,1.7171940598878538e-22,0
267,APOBEC3A,10.032689,,1.094932081526322e-23,1.7706931944683247e-22,0
268,MEF2C,9.967602,,2.11269248476622e-23,3.393733111816774e-22,0
269,CCR2,9.955838,,2.378094113591553e-23,3.807328675860077e-22,0
270,CYP27A1,9.9506855,,2.5045240597489738e-23,3.9964216142771835e-22,0
271,FERMT3,9.889854,,4.606961361726753e-23,7.326899145819071e-22,0
272,RETN,9.8467245,,7.081436786633789e-23,1.1188204238882266e-21,0
273,AC109326.1,9.845044,,7.200778989033204e-23,1.1339456224369338e-21,0
274,FCGR1A,9.80281,,1.094966627805688e-22,1.7186682069773595e-21,0
275,ASAP1,9.755534,,1.7467836243574745e-22,2.7328344455338596e-21,0
276,ZNF516,9.699297,,3.03583750373386e-22,4.7188114985222426e-21,0
277,APP,9.658855,,4.508748086274745e-22,6.985650663992774e-21,0
278,MOSPD2,9.606763,,7.486595891620194e-22,1.1525038483157626e-20,0
279,SOX4,9.55523,,1.2330963222909426e-21,1.8861661261029928e-20,0
280,HLA-DRB1,9.424495,,4.321819571091254e-21,6.56889221517446e-20,0
281,CTSA,9.414748,,4.7421755085118315e-21,7.185069074884014e-20,0
282,S1PR3,9.41206,,4.865088149441125e-21,7.348118987976642e-20,0
283,HLA-DMB,9.403994,,5.2530477364785395e-21,7.909212626428347e-20,0
284,ACTN1,9.37565,,6.875030860718885e-21,1.031899163251025e-19,0
285,HMOX1,9.3491,,8.839634097731456e-21,1.3226405785484168e-19,0
286,NPL,9.292191,,1.5114482887336364e-20,2.2544987983812595e-19,0
287,GPBAR1,9.276619,,1.7494179478936918e-20,2.6013790723632824e-19,0
288,SP1,9.2141075,,3.138774052803425e-20,4.652941906053966e-19,0
289,TRIB1,9.202233,,3.5058705834631574e-20,5.181137357653399e-19,0
290,RNF144B,9.183077,,4.189478635692613e-20,6.172412848844055e-19,0
291,NHSL2,9.1669445,,4.866160741206567e-20,7.147452611625425e-19,0
292,JDP2,9.159551,,5.211381875888745e-20,7.631179009113916e-19,0
293,TMEM176A,9.152829,,5.546166868697864e-20,8.096729322296608e-19,0
294,AHR,9.150813,,5.650685790743364e-20,8.224316319072841e-19,0
295,VCL,9.059175,,1.314414426505509e-19,1.907290782630199e-18,0
296,TTYH3,9.031616,,1.6915520212850937e-19,2.447145891033827e-18,0
297,NCF4,9.022318,,1.841513086353507e-19,2.656092298425193e-18,0
298,ATF3,8.946699,,3.6626977633004165e-19,5.256654715609472e-18,0
299,RELT,8.946588,,3.6664154272937185e-19,5.256654715609472e-18,0
300,SHTN1,8.936729,,4.0085966108616236e-19,5.7301456910620174e-18,0
301,MIR22HG,8.879707,,6.703651163311732e-19,9.497827887134586e-18,0
302,ARHGEF40,8.8540535,,8.439717386267526e-19,1.1922341943012626e-17,0
303,CSF2RB,8.844979,,9.154556296380322e-19,1.2894232812760906e-17,0
304,AQP9,8.831759,,1.030415651385454e-18,1.447101278831677e-17,0
305,LIMS1,8.822574,,1.1185867214667586e-18,1.5663475286311492e-17,0
306,FAM200B,8.808346,,1.2700575036329942e-18,1.7732808691712997e-17,0
307,FRAT1,8.799608,,1.3729485797091816e-18,1.9113831966212173e-17,0
308,AL034397.3,8.724102,,2.683015848502925e-18,3.713696000103616e-17,0
309,OTUD1,8.720965,,2.7584051387969934e-18,3.807074678632747e-17,0
310,LINC00937,8.680076,,3.955071456523146e-18,5.443039600481568e-17,0
311,STAT2,8.621597,,6.602664167047547e-18,9.060741712665532e-17,0
312,ARID3A,8.598632,,8.067219169157853e-18,1.1038989649420275e-16,0
313,DAPP1,8.578803,,9.586564294631906e-18,1.3080758041794614e-16,0
314,PTPN18,8.559647,,1.1321440359596262e-17,1.5404214744232536e-16,0
315,PTPN12,8.544411,,1.2919399696113847e-17,1.7528778740235824e-16,0
316,CLEC4D,8.491534,,2.0392759748896997e-17,2.7590542274352754e-16,0
317,SLC8A1,8.46207,,2.626711808321486e-17,3.5438474200472185e-16,0
318,AC011472.2,8.449972,,2.9137322204625405e-17,3.9200716680340565e-16,0
319,MBOAT7,8.39071,,4.83216965882373e-17,6.482935997578318e-16,0
320,SLC8A1-AS1,8.248323,,1.6063243710608469e-16,2.149074081951322e-15,0
321,MEFV,8.224797,,1.9552084472405102e-16,2.608573936693381e-15,0
322,SULF2,8.1598215,,3.3551899175876293e-16,4.463982596723929e-15,0
323,TBC1D9,8.157357,,3.424342935298463e-16,4.543403071336608e-15,0
324,PEA15,8.095518,,5.702099704939928e-16,7.482837399679365e-15,0
325,CR1,8.034575,,9.390328174202671e-16,1.2289304147328456e-14,0
326,RN7SL368P,8.028638,,9.85604809125054e-16,1.2863749723444659e-14,0
327,TET3,8.023597,,1.026927707516385e-15,1.3366758209217335e-14,0
328,BEST1,7.903168,,2.7190261087733515e-15,3.520076118716552e-14,0
329,MCTP1,7.861158,,3.805985564831256e-15,4.90084414688593e-14,0
330,DOCK5,7.8504033,,4.147013932829623e-15,5.325697304647241e-14,0
331,ADAM15,7.8479385,,4.229306793719169e-15,5.416896141395512e-14,0
332,FNDC3B,7.8046966,,5.964498833628446e-15,7.619012738807825e-14,0
333,TRPS1,7.740617,,9.893559808717422e-15,1.2604447682034422e-13,0
334,PLEKHO1,7.70208,,1.3386944383817407e-14,1.6920393125125003e-13,0
335,TESC,7.695806,,1.4060490419116762e-14,1.7725074929925933e-13,0
336,PADI4,7.692221,,1.4460230103479557e-14,1.818127884476762e-13,0
337,GIMAP8,7.657157,,1.900945171774119e-14,2.377666578133097e-13,0
338,OSBPL11,7.607753,,2.7890245805623728e-14,3.452496149598216e-13,0
339,AC253572.2,7.5356073,,4.860665796368042e-14,5.970787166229081e-13,0
340,DYSF,7.52194,,5.396926822481837e-14,6.612612124586802e-13,0
341,LYL1,7.470184,,8.008292285619518e-14,9.787233549066298e-13,0
342,KLF7,7.4472184,,9.532888172059554e-14,1.1620929413807623e-12,0
343,CSRNP1,7.443745,,9.787006382953235e-14,1.190050421704415e-12,0
344,TENT5A,7.4294057,,1.090865104580334e-13,1.3230871457826626e-12,0
345,RRP12,7.4220123,,1.1535424608053665e-13,1.395582982178382e-12,0
346,RNASE2,7.3654385,,1.7656551259331955e-13,2.1254239523451474e-12,0
347,SLC36A4,7.3651023,,1.7701091477699981e-13,2.1254585591848254e-12,0
348,LTB4R,7.36219,,1.8091759495350122e-13,2.1669506447921853e-12,0
349,BCL2A1,7.2788415,,3.3669864152634075e-13,4.002880136759937e-12,0
350,SLC2A6,7.255428,,4.0039373165090104e-13,4.736677569259305e-12,0
351,MT-TM,7.1813784,,6.901217335944455e-13,8.104290186929394e-12,0
352,CD83,7.1672626,,7.651209886955675e-13,8.963112460255636e-12,0
353,EDEM3,7.160653,,8.029356364760789e-13,9.38321134305257e-12,0
354,ABHD2,7.130518,,9.999196897993422e-13,1.165683075268505e-11,0
355,MAP3K7CL,7.0924287,,1.3177851547110905e-12,1.52882176282062e-11,0
356,PPIF,7.047394,,1.822997614003055e-12,2.1047734471290078e-11,0
357,GNB4,7.01513,,2.2973507911150395e-12,2.646085335665596e-11,0
